p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Fkbp1a2	1.0158085595741e-58	0.583531315240224	0.985	0.664	2.50183490137504e-54	L6_CT_CTX	Fkbp1a
Nipal33	1.09604336800602e-58	0.869285042573821	0.613	0.306	2.69944521106203e-54	L6_CT_CTX	Nipal3
Epha73	1.12130166064692e-58	0.624810024296376	0.703	0.381	2.7616538600073e-54	L6_CT_CTX	Epha7
Lor1	1.12249403566525e-58	1.50784864940066	0.291	0.095	2.76459056043995e-54	L6_CT_CTX	Lor
St73	1.21625578238963e-58	0.689953412081429	0.699	0.369	2.99551636644743e-54	L6_CT_CTX	St7
AC121517.11	2.12073061687312e-58	3.45982074332072	0.067	0.007	5.2231474362968e-54	L6_CT_CTX	AC121517.1
Trnp12	2.22549747534668e-58	1.04394695511953	0.59	0.3	5.48117773203135e-54	L6_CT_CTX	Trnp1
Frmd62	2.31833529764407e-58	0.913414220247344	0.541	0.25	5.70982800456759e-54	L6_CT_CTX	Frmd6
Extl13	2.42162447533137e-58	1.32990293521573	0.387	0.154	5.96421892029363e-54	L6_CT_CTX	Extl1
Pde9a3	2.80806017159107e-58	1.0960324464454	0.318	0.108	6.91597139661164e-54	L6_CT_CTX	Pde9a
Ttc92	3.83676079609854e-58	0.93175017021671	0.589	0.288	9.44955816471109e-54	L6_CT_CTX	Ttc9
Raph13	4.26605250824919e-58	0.722519269220256	0.8	0.467	1.05068607225669e-53	L6_CT_CTX	Raph1
C788592	4.56598548050431e-58	1.25756957666406	0.443	0.194	1.12455656399341e-53	L6_CT_CTX	C78859
Galnt183	4.85465969173244e-58	0.634415178854263	0.765	0.399	1.19565413547678e-53	L6_CT_CTX	Galnt18
Iqsec14	4.8883831144649e-58	0.645317117672886	0.905	0.576	1.20395987726156e-53	L6_CT_CTX	Iqsec1
R3hdm42	5.59401879759531e-58	0.69315492431398	0.852	0.486	1.37775088965975e-53	L6_CT_CTX	R3hdm4
Spag6l3	6.85138868637262e-58	0.611542083577188	0.966	0.603	1.68742851956671e-53	L6_CT_CTX	Spag6l
Brd92	8.8950524759586e-58	0.805785023340844	0.714	0.4	2.19076247430384e-53	L6_CT_CTX	Brd9
Adgrl22	9.21938446674372e-58	0.636262804766598	0.615	0.292	2.27064220031431e-53	L6_CT_CTX	Adgrl2
Gm100733	1.10620170867836e-57	0.623265106884531	0.986	0.62	2.72446418830393e-53	L6_CT_CTX	Gm10073
Rundc3a2	1.15201922372099e-57	0.755898908283988	0.85	0.486	2.83730814610242e-53	L6_CT_CTX	Rundc3a
Arl8a2	1.80980444577362e-57	0.741940064383581	0.867	0.534	4.45736736949584e-53	L6_CT_CTX	Arl8a
Gm16263	2.18161789669354e-57	2.79388552453969	0.112	0.019	5.37310671776651e-53	L6_CT_CTX	Gm16263
Emb1	2.18437935432972e-57	0.418082861563388	0.42	0.176	5.37990791177866e-53	L6_CT_CTX	Emb
Rbfox23	2.24899995365432e-57	0.679842403288751	0.907	0.594	5.53906198585523e-53	L6_CT_CTX	Rbfox2
Dtna1	2.38514842793006e-57	0.141914649236798	0.945	0.626	5.87438206314894e-53	L6_CT_CTX	Dtna
Col23a12	2.74071583909471e-57	1.84514035329138	0.191	0.048	6.75010904010637e-53	L6_CT_CTX	Col23a1
Ptk2b3	3.09479420066876e-57	0.462840370714677	0.891	0.49	7.62216863682709e-53	L6_CT_CTX	Ptk2b
Ttll112	3.28390325907128e-57	0.857453025960632	0.713	0.4	8.08792533676666e-53	L6_CT_CTX	Ttll11
Ar2	3.45698992926987e-57	0.868633600742268	0.567	0.27	8.51422049679877e-53	L6_CT_CTX	Ar
Hsph13	5.10198679647961e-57	0.61424105833861	0.878	0.523	1.25656832810496e-52	L6_CT_CTX	Hsph1
Gm170182	5.22036877851967e-57	0.840212599666716	0.699	0.378	1.28572462646161e-52	L6_CT_CTX	Gm17018
Cbarp3	5.6717154441814e-57	0.628357037886787	0.914	0.527	1.39688679674744e-52	L6_CT_CTX	Cbarp
Ubxn2b2	7.04997567206642e-57	0.847216548233304	0.613	0.31	1.73633850827324e-52	L6_CT_CTX	Ubxn2b
B230217C12Rik2	7.87875364140857e-57	0.865035799189658	0.68	0.367	1.94045823434252e-52	L6_CT_CTX	B230217C12Rik
Setd42	8.61471670036181e-57	1.06237415698399	0.52	0.248	2.12171857613211e-52	L6_CT_CTX	Setd4
Cacng23	9.87738562830691e-57	0.611562393965196	0.843	0.45	2.43270130639571e-52	L6_CT_CTX	Cacng2
Fam110b3	1.25046848534614e-56	0.867840120637163	0.601	0.304	3.079778832559e-52	L6_CT_CTX	Fam110b
Klc13	2.3077445884043e-56	0.66757715154486	0.942	0.62	5.68374414678094e-52	L6_CT_CTX	Klc1
Adam233	2.31385799304482e-56	0.599034377388245	0.812	0.456	5.69880085107008e-52	L6_CT_CTX	Adam23
Atp6v0e23	2.9334870210784e-56	0.665317747228489	0.916	0.553	7.22488518421398e-52	L6_CT_CTX	Atp6v0e2
Ndn3	3.40328920081203e-56	0.986321281793843	0.572	0.279	8.38196097267995e-52	L6_CT_CTX	Ndn
Tubb52	4.05106182943125e-56	0.65824543061341	0.899	0.547	9.97736017970622e-52	L6_CT_CTX	Tubb5
Epdr12	4.66147327618246e-56	0.850669408270619	0.685	0.374	1.14807425319098e-51	L6_CT_CTX	Epdr1
Nat142	4.98701185538386e-56	0.924743287744525	0.615	0.316	1.22825114986249e-51	L6_CT_CTX	Nat14
Cox8a3	5.03616970717501e-56	0.603734634138553	0.994	0.745	1.24035823718013e-51	L6_CT_CTX	Cox8a
Ndrg42	6.03012040115384e-56	0.573074328391125	0.991	0.599	1.48515835360018e-51	L6_CT_CTX	Ndrg4
Add22	6.65856228739463e-56	0.697430943397914	0.794	0.436	1.63993730576242e-51	L6_CT_CTX	Add2
Dzip11	7.09246812420926e-56	0.996978862524908	0.503	0.229	1.7468039743115e-51	L6_CT_CTX	Dzip1
Spryd32	1.10841877974769e-55	0.920010692076519	0.63	0.328	2.72992461264059e-51	L6_CT_CTX	Spryd3
Tppp4	1.13757874503414e-55	0.62750166155857	0.907	0.555	2.80174269114458e-51	L6_CT_CTX	Tppp
Socs72	1.19358385114948e-55	0.754883975434646	0.772	0.45	2.93967766699605e-51	L6_CT_CTX	Socs7
Cyth22	1.28512552989638e-55	1.06572376452479	0.414	0.174	3.1651356675818e-51	L6_CT_CTX	Cyth2
Tusc23	1.31041950778389e-55	0.720384510520596	0.83	0.474	3.22743220572093e-51	L6_CT_CTX	Tusc2
Creg22	1.31290132047556e-55	0.811595539103699	0.659	0.345	3.23354466219927e-51	L6_CT_CTX	Creg2
Gm269043	1.33817078493035e-55	0.927427869329362	0.596	0.305	3.29578082620496e-51	L6_CT_CTX	Gm26904
1700020I14Rik3	1.68520859721505e-55	0.673468572128152	0.91	0.545	4.15050025408094e-51	L6_CT_CTX	1700020I14Rik
2010300C02Rik1	1.82074987532236e-55	0.611324891925247	0.67	0.327	4.48432486793144e-51	L6_CT_CTX	2010300C02Rik
Scai2	2.37652386056243e-55	0.637554789869617	0.85	0.526	5.85314061617921e-51	L6_CT_CTX	Scai
Agtpbp12	2.5372006806471e-55	0.679570328245742	0.882	0.557	6.24887155636575e-51	L6_CT_CTX	Agtpbp1
1500011B03Rik3	3.32878192034602e-55	0.680057049035961	0.882	0.51	8.19845699162022e-51	L6_CT_CTX	1500011B03Rik
Urah	4.21621495373478e-55	3.92256862759828	0.064	0.007	1.03841158095534e-50	L6_CT_CTX	Urah
Scg53	7.34623618551955e-55	0.670872073758743	0.87	0.531	1.80930451013161e-50	L6_CT_CTX	Scg5
Ptpn32	8.05808485167008e-55	1.07785410670766	0.54	0.265	1.98462571811783e-50	L6_CT_CTX	Ptpn3
Pdlim11	8.40258501722322e-55	1.64813210789392	0.216	0.062	2.06947266389191e-50	L6_CT_CTX	Pdlim1
Atl12	1.00180646891197e-54	0.724903671695286	0.755	0.425	2.46734915228328e-50	L6_CT_CTX	Atl1
Nfe2l12	1.04004003733479e-54	0.703939077943904	0.832	0.494	2.56151460795186e-50	L6_CT_CTX	Nfe2l1
Gm206963	1.04181487529814e-54	1.05972516905686	0.526	0.257	2.56588585637179e-50	L6_CT_CTX	Gm20696
Ppm1k3	1.13614379273112e-54	0.765025772481881	0.757	0.431	2.79820854711748e-50	L6_CT_CTX	Ppm1k
Actn12	1.33452420470208e-54	0.782667709170872	0.615	0.31	3.28679966376075e-50	L6_CT_CTX	Actn1
Cabp5	1.41522228179595e-54	3.90428962798136	0.04	0.002	3.48555095783525e-50	L6_CT_CTX	Cabp5
Sh3bgrl31	1.48886514049759e-54	0.606763413563149	0.93	0.607	3.66692595453153e-50	L6_CT_CTX	Sh3bgrl3
Btbd102	1.6928435730092e-54	0.773899180748456	0.696	0.39	4.16930443596435e-50	L6_CT_CTX	Btbd10
Kifc22	2.84570262408716e-54	0.817956445658366	0.716	0.389	7.00868099286427e-50	L6_CT_CTX	Kifc2
Ptprn23	3.61432980002184e-54	0.644302086898371	0.942	0.571	8.9017328644738e-50	L6_CT_CTX	Ptprn2
Synj23	4.61310450852459e-54	0.604258049361056	0.648	0.333	1.13616150940452e-49	L6_CT_CTX	Synj2
1700016D06Rik3	5.30153310505808e-54	0.671035202233112	0.817	0.474	1.30571458844475e-49	L6_CT_CTX	1700016D06Rik
Slitrk52	5.33708800122707e-54	0.836946341683708	0.657	0.347	1.31447140382221e-49	L6_CT_CTX	Slitrk5
Negr14	5.41713433669179e-54	0.530104669450032	0.997	0.72	1.33418601578382e-49	L6_CT_CTX	Negr1
Dclk3	5.4892397599337e-54	1.70542826571233	0.182	0.046	1.35194486047407e-49	L6_CT_CTX	Dclk3
Srp93	5.82614464570465e-54	0.657946027706904	0.919	0.565	1.4349211647906e-49	L6_CT_CTX	Srp9
Lancl22	6.16254422735218e-54	0.895508266633422	0.606	0.31	1.51777301775457e-49	L6_CT_CTX	Lancl2
Galnt133	6.37349417680665e-54	0.614996125614271	0.789	0.45	1.56972788080571e-49	L6_CT_CTX	Galnt13
Ly6e3	8.02550756271977e-54	0.384359755288364	0.881	0.524	1.97660225762225e-49	L6_CT_CTX	Ly6e
D17Wsu92e2	8.07627183885187e-54	0.811963708406703	0.731	0.407	1.98910499119083e-49	L6_CT_CTX	D17Wsu92e
Otx12	1.20449247990708e-53	1.61644476029232	0.118	0.022	2.96654452876314e-49	L6_CT_CTX	Otx1
Gucy1a22	1.21381757894239e-53	0.758430165040362	0.732	0.411	2.9895113151772e-49	L6_CT_CTX	Gucy1a2
Med282	1.29975052082406e-53	0.719337192044725	0.826	0.497	3.20115555773758e-49	L6_CT_CTX	Med28
Ankrd451	1.40890089788704e-53	1.03022655189403	0.555	0.277	3.46998202140598e-49	L6_CT_CTX	Ankrd45
Ndst13	1.81646150701857e-53	0.861883173011271	0.459	0.203	4.47376304563603e-49	L6_CT_CTX	Ndst1
Ids3	1.94735821440265e-53	0.681338576846949	0.859	0.516	4.79614854625229e-49	L6_CT_CTX	Ids
Ccdc85b2	1.97281248048649e-53	0.848177422454455	0.682	0.373	4.85883985819018e-49	L6_CT_CTX	Ccdc85b
Map3k102	2.37571430334096e-53	0.808236626182976	0.671	0.36	5.85114675769845e-49	L6_CT_CTX	Map3k10
Pou6f22	2.3971129223734e-53	1.30281859726497	0.376	0.151	5.90384941651345e-49	L6_CT_CTX	Pou6f2
Hspa12a2	2.75318454022997e-53	0.774904449022758	0.68	0.364	6.7808182041324e-49	L6_CT_CTX	Hspa12a
Cyb5612	2.82842307139073e-53	0.963730497864106	0.586	0.295	6.96612318252824e-49	L6_CT_CTX	Cyb561
Sumo23	2.86870659774514e-53	0.60542616956534	0.977	0.669	7.0653374795865e-49	L6_CT_CTX	Sumo2
Usp292	3.40505923665056e-53	0.406901617368761	0.769	0.406	8.38632039394667e-49	L6_CT_CTX	Usp29
Ptchd13	4.00689605011284e-53	0.440182362727098	0.439	0.184	9.86858428182292e-49	L6_CT_CTX	Ptchd1
Nmnat23	4.04176271358249e-53	0.573445998606588	0.887	0.521	9.95445738728231e-49	L6_CT_CTX	Nmnat2
Dscam3	5.48973608670858e-53	0.275220879596011	0.96	0.551	1.35206710079546e-48	L6_CT_CTX	Dscam
Rcan13	6.1049791120615e-53	0.795620423651459	0.573	0.287	1.50359530550963e-48	L6_CT_CTX	Rcan1
Ppp2r2b3	6.27829308656351e-53	0.474875852839484	0.989	0.641	1.54628080428973e-48	L6_CT_CTX	Ppp2r2b
Arhgap264	7.69600487892712e-53	0.541659798838995	0.948	0.635	1.89544904163096e-48	L6_CT_CTX	Arhgap26
Cntn43	8.02914177764575e-53	0.406265559983488	0.872	0.503	1.97749732841637e-48	L6_CT_CTX	Cntn4
Lysmd23	8.18169477611589e-53	0.791114395847371	0.702	0.387	2.01506960640958e-48	L6_CT_CTX	Lysmd2
Nat8l2	8.38085803988937e-53	0.725025549288349	0.784	0.443	2.06412152664435e-48	L6_CT_CTX	Nat8l
Arap25	8.94751653170486e-53	0.411978180926857	0.849	0.499	2.20368384659359e-48	L6_CT_CTX	Arap2
Dcc2	1.02313026764772e-52	0.505839620038947	0.865	0.529	2.51986753618957e-48	L6_CT_CTX	Dcc
Klhl210	1.15043281840884e-52	0.358334491423828	0.901	0.544	2.83340098845912e-48	L6_CT_CTX	Klhl2
Cisd32	1.18046437352043e-52	0.994673160059841	0.492	0.231	2.90736570554346e-48	L6_CT_CTX	Cisd3
Lrrc571	1.56405974253597e-52	1.06309936663377	0.434	0.191	3.85212273989185e-48	L6_CT_CTX	Lrrc57
Mad1l12	1.80626074784063e-52	0.67387363157868	0.919	0.596	4.44863959585668e-48	L6_CT_CTX	Mad1l1
Tmem191c2	1.95397798820309e-52	0.664842154815449	0.815	0.468	4.81245238714538e-48	L6_CT_CTX	Tmem191c
R3hdm22	2.25184225492323e-52	0.604185785287005	0.92	0.624	5.54606228965042e-48	L6_CT_CTX	R3hdm2
Ptpn53	2.55461251260371e-52	0.776535265660212	0.697	0.372	6.29175515729168e-48	L6_CT_CTX	Ptpn5
Fhl22	2.59491700297701e-52	1.04332732894965	0.471	0.214	6.39102108663207e-48	L6_CT_CTX	Fhl2
Arhgef34	2.60076995108876e-52	0.48561231474108	0.693	0.372	6.40543631253651e-48	L6_CT_CTX	Arhgef3
Nfix4	2.66456697061525e-52	0.556605386112872	0.946	0.597	6.56256199192829e-48	L6_CT_CTX	Nfix
Nalcn4	3.13920673787407e-52	0.614073308861329	0.852	0.514	7.73155227471005e-48	L6_CT_CTX	Nalcn
Wasl2	3.32514995660462e-52	0.655031095630088	0.841	0.526	8.18951182812151e-48	L6_CT_CTX	Wasl
Dennd5b3	3.6449189869539e-52	0.624850679730563	0.881	0.542	8.97707097296876e-48	L6_CT_CTX	Dennd5b
Gm13305	3.7341352931135e-52	3.44988089155916	0.05	0.004	9.19680181340923e-48	L6_CT_CTX	Gm13305
Kcnmb42	3.9311263282543e-52	0.856072057386296	0.604	0.312	9.68197103385751e-48	L6_CT_CTX	Kcnmb4
Wasf11	4.35913439926784e-52	0.555667481262891	0.865	0.495	1.07361121119568e-47	L6_CT_CTX	Wasf1
Syp2	4.58828403783894e-52	0.555925233590899	0.994	0.585	1.13004847567935e-47	L6_CT_CTX	Syp
Flywch13	5.64558272913214e-52	0.700960355978233	0.81	0.49	1.39045057035795e-47	L6_CT_CTX	Flywch1
Cdk5r12	5.77944996728812e-52	0.596116970781741	0.948	0.577	1.42342073244339e-47	L6_CT_CTX	Cdk5r1
Nol43	5.819965242647e-52	0.511014456593596	0.943	0.595	1.43339923961153e-47	L6_CT_CTX	Nol4
Actn43	6.38458693623747e-52	0.719055010678811	0.723	0.414	1.57245991652593e-47	L6_CT_CTX	Actn4
Cinp2	6.82656653912326e-52	0.868731051918097	0.61	0.318	1.68131507292067e-47	L6_CT_CTX	Cinp
Nova23	6.95286665184904e-52	0.792445658591354	0.717	0.404	1.7124215276839e-47	L6_CT_CTX	Nova2
Selenow3	7.34925303254607e-52	0.553515384783883	1	0.702	1.81004752938577e-47	L6_CT_CTX	Selenow
Dmxl22	8.44828102741479e-52	0.706226148044354	0.83	0.513	2.08072713424199e-47	L6_CT_CTX	Dmxl2
Gm281533	1.02603612537833e-51	0.753325695709708	0.682	0.379	2.52702437319428e-47	L6_CT_CTX	Gm28153
Ttc193	1.04825515010847e-51	0.677206224954423	0.855	0.534	2.58174760920214e-47	L6_CT_CTX	Ttc19
Pls31	1.21605544020499e-51	0.735830517458732	0.728	0.413	2.99502294368087e-47	L6_CT_CTX	Pls3
Gfra42	1.25784862245051e-51	0.874946582166973	0.65	0.352	3.09795537223336e-47	L6_CT_CTX	Gfra4
Mir124a-1hg3	2.26385983761927e-51	0.811508608698465	0.694	0.379	5.57566039407249e-47	L6_CT_CTX	Mir124a-1hg
Mapk8ip13	2.34843914826818e-51	0.671486389526908	0.702	0.397	5.78397077826969e-47	L6_CT_CTX	Mapk8ip1
Gm162941	2.49676349681875e-51	4.49457621128446	0.026	0.001	6.14927881631489e-47	L6_CT_CTX	Gm16294
Aldh3a1	2.60685492706177e-51	4.55248869266469	0.032	0.002	6.42042299986043e-47	L6_CT_CTX	Aldh3a1
Shisa43	2.80099453631941e-51	0.458396836231168	0.869	0.505	6.89856944350108e-47	L6_CT_CTX	Shisa4
Lmna2	2.87098528166407e-51	1.04292849869243	0.372	0.153	7.07094965021045e-47	L6_CT_CTX	Lmna
Fam171b3	2.97146347791512e-51	0.571066534315528	0.951	0.629	7.31841739975716e-47	L6_CT_CTX	Fam171b
Smurf13	3.75915557858101e-51	0.615659459444327	0.616	0.33	9.25842427448717e-47	L6_CT_CTX	Smurf1
Sgsm12	3.95412146953288e-51	0.897767064649115	0.619	0.324	9.73860576731252e-47	L6_CT_CTX	Sgsm1
Rundc3b4	4.61384370314737e-51	0.674913711541073	0.653	0.365	1.13634356564817e-46	L6_CT_CTX	Rundc3b
Map3k52	5.02625547955635e-51	0.534101758397325	0.735	0.42	1.23791646205993e-46	L6_CT_CTX	Map3k5
Mtcl12	5.51974758088266e-51	0.587051337255181	0.925	0.578	1.35945863169559e-46	L6_CT_CTX	Mtcl1
Nrip32	6.80648051250314e-51	0.348202526181525	0.687	0.339	1.6763680854244e-46	L6_CT_CTX	Nrip3
Hrk2	7.35993687078384e-51	1.22376879258748	0.369	0.15	1.81267885190535e-46	L6_CT_CTX	Hrk
Spink102	9.16568669103568e-51	1.07948563656819	0.453	0.208	2.25741697513518e-46	L6_CT_CTX	Spink10
Slc1a12	9.65177251206007e-51	0.649759383727648	0.679	0.36	2.37713505199527e-46	L6_CT_CTX	Slc1a1
Jakmip23	1.00343866428269e-50	0.669310257989573	0.792	0.463	2.47136908626183e-46	L6_CT_CTX	Jakmip2
Map2k42	1.0318180090131e-50	0.610934051565568	0.902	0.596	2.54126457439837e-46	L6_CT_CTX	Map2k4
Ppp1ca2	1.03320802543657e-50	0.666000432074049	0.817	0.49	2.54468804584774e-46	L6_CT_CTX	Ppp1ca
Zmiz22	1.28514681905981e-50	0.749402810450932	0.677	0.379	3.16518810066241e-46	L6_CT_CTX	Zmiz2
Nell21	1.38780287415857e-50	0.379333130739573	0.905	0.475	3.41801969876515e-46	L6_CT_CTX	Nell2
Lurap13	1.42050100197975e-50	1.22306889874212	0.355	0.145	3.49855191777593e-46	L6_CT_CTX	Lurap1
Pi4ka2	1.51515806190641e-50	0.627841742503523	0.908	0.619	3.73168279066929e-46	L6_CT_CTX	Pi4ka
Tma73	1.54133223623075e-50	0.613956229344804	0.966	0.628	3.7961471646127e-46	L6_CT_CTX	Tma7
Rtn43	1.78502219067593e-50	0.369331489503649	0.992	0.812	4.39633115341575e-46	L6_CT_CTX	Rtn4
Dok52	1.96725578283964e-50	0.924042404170096	0.451	0.202	4.84515426755575e-46	L6_CT_CTX	Dok5
Ccdc1122	2.11649306033038e-50	1.06410748842343	0.391	0.165	5.2127107582877e-46	L6_CT_CTX	Ccdc112
Arhgap201	2.1428070896316e-50	0.734087842138067	0.68	0.364	5.27751958105366e-46	L6_CT_CTX	Arhgap20
Gde12	2.65390878014577e-50	0.66151667594026	0.832	0.509	6.53631193462103e-46	L6_CT_CTX	Gde1
Ube2e23	2.76211173724878e-50	0.511346887545327	0.986	0.695	6.80280499767001e-46	L6_CT_CTX	Ube2e2
4930447C04Rik3	3.46325726073917e-50	1.322955596284	0.35	0.141	8.52965630747451e-46	L6_CT_CTX	4930447C04Rik
Atp9a3	3.96511043310466e-50	0.655493001296907	0.862	0.505	9.76567048569346e-46	L6_CT_CTX	Atp9a
Wipf22	4.29078320200578e-50	0.673638872984972	0.757	0.452	1.056776994822e-45	L6_CT_CTX	Wipf2
Slc4a81	4.41589089486434e-50	0.884898066606587	0.569	0.287	1.08758976849614e-45	L6_CT_CTX	Slc4a8
Syt113	5.72685376051206e-50	0.45174279454551	0.997	0.745	1.41046681267652e-45	L6_CT_CTX	Syt11
Pgs13	7.34811409370674e-50	0.789317247046423	0.511	0.245	1.80976702013903e-45	L6_CT_CTX	Pgs1
Spata73	9.36715519379444e-50	0.828099717517711	0.628	0.345	2.30703665267963e-45	L6_CT_CTX	Spata7
Ncam23	9.46140431784488e-50	0.406463252387648	0.974	0.642	2.33024926944201e-45	L6_CT_CTX	Ncam2
Kcnn22	1.200778227725e-49	0.39230296364612	0.719	0.38	2.95739669706391e-45	L6_CT_CTX	Kcnn2
Arpc33	1.20479864374934e-49	0.6063893374106	0.734	0.42	2.96729857969025e-45	L6_CT_CTX	Arpc3
Pip5k1a2	1.87604969469164e-49	0.696458530465401	0.775	0.462	4.62052279305605e-45	L6_CT_CTX	Pip5k1a
Ap1s12	2.18963995687731e-49	0.641101543044943	0.83	0.478	5.39286424979313e-45	L6_CT_CTX	Ap1s1
Slc25a423	2.21738615243845e-49	1.1088145750409	0.378	0.159	5.46120035484067e-45	L6_CT_CTX	Slc25a42
Rap2b2	2.43744424152753e-49	0.830855453692413	0.538	0.263	6.00318142245816e-45	L6_CT_CTX	Rap2b
Mpp23	2.47871257228186e-49	0.73440238849618	0.694	0.379	6.104821194273e-45	L6_CT_CTX	Mpp2
Wdr893	3.26619697082645e-49	0.541513659473107	0.974	0.626	8.04431651944847e-45	L6_CT_CTX	Wdr89
Frmd33	3.49311979433057e-49	0.881927828990121	0.502	0.243	8.60320474145676e-45	L6_CT_CTX	Frmd3
Ccnb11	3.50417043753451e-49	1.98351451321948	0.165	0.042	8.63042137060374e-45	L6_CT_CTX	Ccnb1
Ogfod12	3.64743586676774e-49	0.72537564590918	0.713	0.408	8.98326979626227e-45	L6_CT_CTX	Ogfod1
Rundc12	4.24202066691294e-49	1.0631332341992	0.439	0.202	1.04476727005399e-44	L6_CT_CTX	Rundc1
Atp6v1e13	4.33350647712566e-49	0.627282424429321	0.908	0.584	1.06729931025128e-44	L6_CT_CTX	Atp6v1e1
Snx102	4.88956130134399e-49	0.667858806828849	0.83	0.508	1.20425005290801e-44	L6_CT_CTX	Snx10
Nenf3	5.14518405683966e-49	0.623267172022926	0.829	0.493	1.26720738135904e-44	L6_CT_CTX	Nenf
Chrm12	6.04057994933395e-49	0.717091576100242	0.693	0.37	1.48773443572146e-44	L6_CT_CTX	Chrm1
Shank23	6.87052971651436e-49	0.662164610983662	0.774	0.439	1.69214276388032e-44	L6_CT_CTX	Shank2
Actl6b2	7.0491754420314e-49	0.956718904952281	0.54	0.274	1.73614141961791e-44	L6_CT_CTX	Actl6b
Idh3a2	8.71297909468941e-49	0.706747119189562	0.755	0.431	2.14591962123105e-44	L6_CT_CTX	Idh3a
Glt1d12	9.87163472095787e-49	1.08401816555351	0.462	0.218	2.43128491542471e-44	L6_CT_CTX	Glt1d1
2010111I01Rik2	1.04521754674626e-48	0.546390966989783	0.792	0.444	2.57426629588136e-44	L6_CT_CTX	2010111I01Rik
Lrp1b4	1.08753601125654e-48	0.440238433878471	0.991	0.785	2.67849244212373e-44	L6_CT_CTX	Lrp1b
Ppm1a2	1.44954335559312e-48	0.614881566262801	0.916	0.597	3.5700803304903e-44	L6_CT_CTX	Ppm1a
Ctnna23	1.71000984696076e-48	0.420900398905836	0.995	0.715	4.21158325207965e-44	L6_CT_CTX	Ctnna2
Flot22	1.94266638411304e-48	0.85078013524708	0.625	0.35	4.78459303743202e-44	L6_CT_CTX	Flot2
Cox143	2.15954635846681e-48	0.650039449562171	0.904	0.56	5.3187467262679e-44	L6_CT_CTX	Cox14
Gramd22	2.22241535816508e-48	1.62170800198664	0.257	0.09	5.47358678562478e-44	L6_CT_CTX	Gramd2
Eid13	2.24266180208593e-48	0.611453513157007	0.908	0.578	5.52345175235745e-44	L6_CT_CTX	Eid1
Timm8b3	2.27413644065771e-48	0.656717269397992	0.904	0.554	5.60097063969587e-44	L6_CT_CTX	Timm8b
Anp32a3	2.37345549269728e-48	0.651211078519128	0.846	0.541	5.84558353296413e-44	L6_CT_CTX	Anp32a
Ap2m12	2.46346210314345e-48	0.666362534661572	0.818	0.487	6.06726081383199e-44	L6_CT_CTX	Ap2m1
Gm104192	2.46934511190182e-48	0.757318619345086	0.703	0.386	6.081750076103e-44	L6_CT_CTX	Gm10419
Ptprg4	2.6428949003217e-48	0.399171869989665	0.891	0.561	6.50918585000232e-44	L6_CT_CTX	Ptprg
Zmynd8	2.93432176701676e-48	0.547686035915893	0.953	0.665	7.22694107998558e-44	L6_CT_CTX	Zmynd8
Slc50a13	2.96676107957272e-48	0.914092815067892	0.436	0.199	7.30683586287965e-44	L6_CT_CTX	Slc50a1
Gm424562	3.27141375365271e-48	1.57114064604086	0.269	0.097	8.05716493387125e-44	L6_CT_CTX	Gm42456
Gm195312	3.31618478932038e-48	1.57624237026199	0.3	0.115	8.16743151761716e-44	L6_CT_CTX	Gm19531
Ctnnd22	3.34435136398243e-48	0.242815560602828	0.994	0.741	8.23680297435232e-44	L6_CT_CTX	Ctnnd2
D8Ertd738e3	3.34811061676463e-48	0.582587862497487	0.922	0.596	8.24606163802961e-44	L6_CT_CTX	D8Ertd738e
Necab12	3.46764108420637e-48	0.364429781508529	0.645	0.318	8.54045322629186e-44	L6_CT_CTX	Necab1
Calm33	3.60732084622058e-48	0.575074178726803	0.997	0.65	8.88447051215666e-44	L6_CT_CTX	Calm3
Gm100363	6.57516020547523e-48	0.541868968769062	0.893	0.54	1.6193962070065e-43	L6_CT_CTX	Gm10036
A630023P12Rik2	9.29909656977189e-48	2.23236830867171	0.116	0.024	2.29027449416912e-43	L6_CT_CTX	A630023P12Rik
Rangap12	9.60346206891432e-48	0.660125970574746	0.821	0.482	2.36523667295291e-43	L6_CT_CTX	Rangap1
Mapre33	1.33288442912136e-47	0.691629453752915	0.817	0.497	3.28276106048299e-43	L6_CT_CTX	Mapre3
Rab11fip22	1.39672021168768e-47	0.617898168645584	0.864	0.545	3.43998220936558e-43	L6_CT_CTX	Rab11fip2
Rgs113	1.49645595378372e-47	1.4142130033294	0.306	0.119	3.68562136857394e-43	L6_CT_CTX	Rgs11
Uqcr103	1.53413154666437e-47	0.567377722611926	0.976	0.646	3.77841258627968e-43	L6_CT_CTX	Uqcr10
Rrm2b3	2.36251419348958e-47	0.490106235131446	0.982	0.658	5.81863620714549e-43	L6_CT_CTX	Rrm2b
Krt2222	2.44473361001263e-47	1.07264710269787	0.463	0.223	6.02113440810011e-43	L6_CT_CTX	Krt222
Rogdi1	2.5273190453677e-47	0.636750054225484	0.653	0.362	6.22453407683611e-43	L6_CT_CTX	Rogdi
C2cd52	2.71541749697989e-47	0.586269616165312	0.794	0.485	6.68780175331178e-43	L6_CT_CTX	C2cd5
Ror22	3.09026759456612e-47	1.96883899391718	0.127	0.028	7.6110200586569e-43	L6_CT_CTX	Ror2
