p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Skap2	0	3.85921881683668	0.739	0.163	0	Microglia	Skap2
Il6ra	0	5.34159222270673	0.608	0.033	0	Microglia	Il6ra
Rpl13	0	2.62186292152415	0.692	0.117	0	Microglia	Rpl13
Zfp36l1	0	3.61512502609109	0.679	0.105	0	Microglia	Zfp36l1
Ccr5	0	5.14831120743369	0.601	0.027	0	Microglia	Ccr5
Tns3	0	3.05071103513006	0.714	0.14	0	Microglia	Tns3
Cd84	0	4.56910978231981	0.597	0.034	0	Microglia	Cd84
B2m	0	3.47700762185671	0.869	0.307	0	Microglia	B2m
Ctsz	0	4.84915124709158	0.682	0.12	0	Microglia	Ctsz
Abca1	0	3.38693269719604	0.715	0.154	0	Microglia	Abca1
P3h2	0	5.28803568970288	0.652	0.095	0	Microglia	P3h2
Fcer1g	0	4.96219786303558	0.591	0.034	0	Microglia	Fcer1g
Inpp4b	0	2.02350190239326	0.867	0.314	0	Microglia	Inpp4b
Kctd12	0	3.39226693815384	0.771	0.22	0	Microglia	Kctd12
Zfp710	0	4.37600839076716	0.709	0.159	0	Microglia	Zfp710
Chd7	0	2.9192021570062	0.756	0.208	0	Microglia	Chd7
Plxdc2	0	4.95290903407306	0.995	0.448	0	Microglia	Plxdc2
Itpr2	0	2.58144019648501	0.718	0.171	0	Microglia	Itpr2
AY036118	0	2.28936863946812	0.999	0.453	0	Microglia	AY036118
Mylip	0	4.34868578305255	0.71	0.167	0	Microglia	Mylip
Trf	0	1.67880668442824	0.622	0.08	0	Microglia	Trf
Anxa3	0	5.50449112447293	0.56	0.019	0	Microglia	Anxa3
Junb	0	3.87115982056108	0.897	0.358	0	Microglia	Junb
Prkcd	0	4.68384500252442	0.582	0.048	0	Microglia	Prkcd
Irf8	0	4.99575003369307	0.553	0.02	0	Microglia	Irf8
Arhgap45	0	3.64510763910175	0.577	0.045	0	Microglia	Arhgap45
AU020206	0	2.95024475171783	0.582	0.054	0	Microglia	AU020206
Frmd4b	0	2.73142331096438	0.824	0.297	0	Microglia	Frmd4b
Fgd2	0	6.20612849253446	0.538	0.012	0	Microglia	Fgd2
Grn	0	4.55744168942758	0.677	0.153	0	Microglia	Grn
Pld4	0	5.73177824352209	0.538	0.015	0	Microglia	Pld4
Lpin2	0	4.36032999483421	0.564	0.044	0	Microglia	Lpin2
Pros1	0	4.95659856000389	0.571	0.052	0	Microglia	Pros1
Nfe2l2	0	4.12302203299799	0.596	0.079	0	Microglia	Nfe2l2
Tmem119	0	6.54941531391994	0.527	0.013	0	Microglia	Tmem119
Tgfb1	0	4.824548355918	0.546	0.034	0	Microglia	Tgfb1
Cyth4	0	4.89055432973033	0.539	0.028	0	Microglia	Cyth4
Ncf2	0	5.29309183372844	0.532	0.023	0	Microglia	Ncf2
