SpotID	row	col
0	3687.2336123445957	-3959.5496323283514
1	3777.7325771550854	-3959.5496323283514
2	3868.231541965575	-3959.5496323283514
3	3687.2336123445957	-3869.0506675178617
4	3777.7325771550854	-3869.0506675178617
5	3868.231541965575	-3869.0506675178617
6	3958.730506776065	-3869.0506675178617
7	4049.2294715865546	-3869.0506675178617
8	4139.728436397044	-3869.0506675178617
9	4230.227401207534	-3869.0506675178617
10	4320.726366018023	-3869.0506675178617
11	4411.2253308285135	-3869.0506675178617
12	3868.231541965575	-3778.551702707372
13	3958.730506776065	-3778.551702707372
14	4049.2294715865546	-3778.551702707372
15	4139.728436397044	-3778.551702707372
16	4230.227401207534	-3778.551702707372
17	4320.726366018023	-3778.551702707372
18	4411.2253308285135	-3778.551702707372
19	4501.724295639003	-3778.551702707372
20	4592.223260449493	-3778.551702707372
21	4682.722225259982	-3778.551702707372
22	4773.2211900704715	-3778.551702707372
23	4863.720154880962	-3778.551702707372
24	4954.219119691452	-3778.551702707372
25	5044.718084501941	-3778.551702707372
26	3777.7325771550854	-3688.0527378968823
27	3868.231541965575	-3688.0527378968823
28	3958.730506776065	-3688.0527378968823
29	4049.2294715865546	-3688.0527378968823
30	4139.728436397044	-3688.0527378968823
31	4230.227401207534	-3688.0527378968823
32	4320.726366018023	-3688.0527378968823
33	4411.2253308285135	-3688.0527378968823
34	4501.724295639003	-3688.0527378968823
35	4592.223260449493	-3688.0527378968823
36	4682.722225259982	-3688.0527378968823
37	4773.2211900704715	-3688.0527378968823
38	4863.720154880962	-3688.0527378968823
39	4954.219119691452	-3688.0527378968823
40	5044.718084501941	-3688.0527378968823
41	3777.7325771550854	-3597.5537730863925
42	3868.231541965575	-3597.5537730863925
43	3958.730506776065	-3597.5537730863925
44	4049.2294715865546	-3597.5537730863925
45	4139.728436397044	-3597.5537730863925
46	4230.227401207534	-3597.5537730863925
47	4320.726366018023	-3597.5537730863925
48	4411.2253308285135	-3597.5537730863925
49	4501.724295639003	-3597.5537730863925
50	4592.223260449493	-3597.5537730863925
51	4682.722225259982	-3597.5537730863925
52	4773.2211900704715	-3597.5537730863925
53	4863.720154880962	-3597.5537730863925
54	4954.219119691452	-3597.5537730863925
55	5044.718084501941	-3597.5537730863925
56	5135.21704931243	-3597.5537730863925
57	5225.716014122921	-3597.5537730863925
58	5316.214978933411	-3597.5537730863925
59	5406.7139437439	-3597.5537730863925
60	3777.7325771550854	-3507.054808275903
61	3868.231541965575	-3507.054808275903
62	3958.730506776065	-3507.054808275903
63	4049.2294715865546	-3507.054808275903
64	4139.728436397044	-3507.054808275903
65	4230.227401207534	-3507.054808275903
66	4320.726366018023	-3507.054808275903
67	4411.2253308285135	-3507.054808275903
68	4501.724295639003	-3507.054808275903
69	4592.223260449493	-3507.054808275903
70	4682.722225259982	-3507.054808275903
71	4773.2211900704715	-3507.054808275903
72	4863.720154880962	-3507.054808275903
73	4954.219119691452	-3507.054808275903
74	5044.718084501941	-3507.054808275903
75	5135.21704931243	-3507.054808275903
