Unc5b	Unc5b
Unc5d	Unc5d
Ust	Ust
Vipr2	Vipr2
Vtn	Vtn
Vwc2	Vwc2
Wipf3	Wipf3
Wnt7b	Wnt7b
Zfp804b	Zfp804b
Vip	Vip
Calb1	Calb1
Gad2	Gad2
Tac2	Tac2
Lamp5	Lamp5
Cnr1	Cnr1
Pvalb	Pvalb
Sst	Sst
Rab3b	Rab3b
Slc17a7	Slc17a7
Penk	Penk
Gad1	Gad1
