Cell IDs	CellType
121500964151967952948386852758082417550	Astro
121637746521075695239197511690585557064	Endo
121641932357974465919283625648163466105	L2_3_IT
12166885478489247987572197996870595112	L6_IT
121683842169379476994977231025023883323	L5_ET
12174550406232682908867923831494201640	L6_IT
121828905310311532609760610561048340563	L6_CT
121864714714708160064919313326418141866	VLMC
121917365169063737849310354357470209755	OPC
121952618214928757962683264795805291950	Sst
122048444358939016025513727864162100945	L4_5_IT
12212021688682561516770904562913719454	Endo
122204043600856347361635064268004173390	L6_IT
122320279961254459155016281280681076832	L5_IT
122324795173636487649321089398308937733	VLMC
122500308068052513382386271937103790926	L2_3_IT
122513491340778558614368482693808757593	L5_IT
122562712481270925141481512124385234770	L6_IT_Car3
122563652066754654340532923841174484601	OPC
122845262684045448769980233419489297862	L5_IT
122885311403082418979408065944191906346	L4_5_IT
122958873317688024419407348628467665004	VLMC
123043977749917971475203360417543800108	L4_5_IT
123116595857578470560087083536059184191	Pvalb
123176591505978412200337305119344087385	Astro
123325726171217048300571699688146796333	Oligo
123382764247081025984080635522779187003	L2_3_IT
123458279894428214305958433170649293611	Peri
123651558367263274671788797463480479905	L5_IT
123690551734546672113390226933663794691	L2_3_IT
123763962632019916745819676800493501454	OPC
123864903374358328629741588662557351770	Micro
123903853436011138112397597154424461780	L4_5_IT
124006632518508737793505439415136457597	L4_5_IT
124022895501606826854536917535172182400	Oligo
124148607971247573580994722354726590740	VLMC
124181157945990675303084340971216308	L5_6_NP
12418151544569410378904533121899765167	Endo
124213766751185189169263477806296981088	Astro
124231122841899992642345200787454705293	L2_3_IT
124232951662982208680814357459370963705	Lamp5
124307940257317766077973142098396821412	L2_3_IT
124338234653438447210079096085062716176	Endo
124363288842125229567986413361839187414	Astro
124386028643455850996859792318910615771	L5_ET
124437525886880767565814528650317668962	L4_5_IT
124444904463190927536581497141715891127	L2_3_IT
124507870511445182744541255293558835732	Astro
124573970633229049118048149345783069525	L5_IT
124606030430477128073260513762828371813	L2_3_IT
124691453822339428349384949291239953608	L2_3_IT
124786785583974390716060308010417960540	Endo
124960227704235398863873839171535196038	Astro
125012324077963305082609341987213164293	Sst
125146603728684488599135778213455873097	Micro
125216299177960182366312333910626727331	Peri
125451478007804373728386002434013409810	L2_3_IT
125484736148711591212642203069951142981	Astro
125494262970178858946725616888930684937	Endo
125551177969178492913379957507395342695	L2_3_IT
125604900601761552563168719004013020349	L4_5_IT
125629030869662067549908075185258176556	Pvalb
125650361972231717279111946571509380626	L5_IT
125736105364940206263588131254682604168	Vip
125852761948185261775149542595164252950	L5_6_NP
126055755338493046961450301455901234449	L5_IT
126154497339103893129065155208816709448	L6_IT
126171588873143083898393999337065436078	PVM
126290974378325806986491010589677677591	OPC
126316014218464306546442117665181339316	Lamp5
126326361039643540186520670197887494165	L5_IT
12633395549343041342753841552655391751	L2_3_IT
126473019017004257630927918288506527786	L2_3_IT
126551132499093223227365185662867800271	VLMC
126553059120144034437824759091430653236	L6_CT
126620931991182152062590824645132858677	OPC
126757820565831499368528493548918171890	Endo
126841375253381195874251932614502743208	L4_5_IT
12686371827965870039508673221038459331	OPC
127054572525542427644775682165598968955	PVM
127094053287676404695599174449456918095	L6_IT
12712047202716776450220973472100300160	L2_3_IT
127210495951084221732220461641101864170	L2_3_IT
127256056688670489653732811199995752975	L4_5_IT
127289681978743655336889874311831522699	Peri
127319693859349027673228788757570606268	Micro
127423199456926727996585516457285760643	L4_5_IT
127439803895180655467986187466773056933	L5_ET
127439909612843379461602285775888452781	L2_3_IT
127533116073434910547478815955004171081	L5_IT
127602472693674038895986570451133489950	L4_5_IT
127651007716024343418235505801421027009	Endo
127695094551558938999161727895105471312	Sst
127761794139779112933324032790109575676	L5_IT
127812969755025132776276816580147539619	L2_3_IT
127883307036473784626165955953186819380	L2_3_IT
127933119252962776003246307671583250676	L2_3_IT
127940096131337857614968039018360505390	L2_3_IT
128024299567322646511468969831491235933	L2_3_IT
128148822532275968047867531663433246595	L2_3_IT
128177390045670731645928011077779114911	L6_IT
128185198012738649007690653447135590707	L4_5_IT
128350473805523542145584715775355751895	L2_3_IT
12835320469296718020590254016360469913	Endo
128360801960150645011371818924366018263	L6_IT
128411430233223579723789363413997853809	Astro
128533535551004541340315263198450660290	Peri
128533608773610449705682934431218958281	L4_5_IT
128613092589988885549338148405885429554	L5_ET
128880734612115938559857949373359075198	L5_6_NP
128895439225780069205572845256628639402	L2_3_IT
128949228518103574069249273873216541992	L2_3_IT
129076825306891057768444959560570418581	L5_ET
129225821031178654596633763365886280464	Lamp5
129245815825030201740953982718545610999	L5_IT
129264289511057305514926368967424658833	L2_3_IT
129348976078931294590302679552803657489	L2_3_IT
129391747617187966084698838087479177954	Peri
129563218991821856034551545226610163169	Astro
129663210993227391512486656089553512875	L4_5_IT
129761531825981135232086292516201913799	L2_3_IT
129787611971662301224906692729974215155	Astro
130058670392381271925317528367366033815	Peri
130093257876905031914088375563212636171	L4_5_IT
130175839280803182271530556302907702679	Peri
130209873725301473081264639784196379244	L4_5_IT
130223741233542037830057985342540570007	L4_5_IT
13061121516982722317857922470725065201	Pvalb
130768366027254951782135406301375486897	Micro
131010652159681855672504000993960072643	L5_ET
131095127329615219991672306389093138258	Endo
131144822827193624688177738577876375939	L2_3_IT
131160286661907426220240420924415825751	L2_3_IT
131169909272954117484570203855470868840	L5_ET
131173521670707026289422285992546564355	L6_IT
131322016795736439304702159700264775924	L4_5_IT
131336692601974919569638306079880418974	Peri
131404916097972687915456919572455600457	Lamp5
13156812993643060427792605389373299025	Peri
131655857685712984814022685317350785328	Peri
131669339246995635020933699927046720158	Astro
131688660736061582870829784206099135862	L2_3_IT
131700159818679897774022841772106663704	SMC
131762225449722135497317387470642051409	L2_3_IT
131800609530538526629727643367775380229	L2_3_IT
131811987919826395571579835512476306799	L6_CT
131972055755649302422807956444013628860	L4_5_IT
132060707501643028845118959908812774304	L5_ET
132121229613057657432176695403412303977	L4_5_IT
132134673865490904758943446118298219705	VLMC
132153595056912045534790010739408635052	Pvalb
132185712924019711754739267361400323008	VLMC
132268382465267730698207479739701740714	Micro
13226946188640165856735244720631591667	L4_5_IT
132318997534218317067461918484007593872	L4_5_IT
132356559347640334850146422386818142617	L6_IT
132439279943776887033394625474111032596	Astro
132544656397985574932049726542079949989	Endo
132622909422972733242202622727261771701	Endo
132650323004003159589812525330250023814	Astro
132718196819682518421060359470864723151	L2_3_IT
132723345051884045511505066823248510378	L2_3_IT
132806199561986092647153618431676787687	L2_3_IT
132812334611156711321668262342121734981	VLMC
132840832787353349499745996441921257091	L2_3_IT
132864282417771005920284517286136691534	Endo
132901124485014248441689085090610313670	Astro
13296653986512781091306756251611162717	L2_3_IT
132981648655072408162545066763503520565	L4_5_IT
132986524808513127414803410466485328053	Lamp5
132988663934496141921985139246909458350	VLMC
133001913177930617402896076675974280015	Peri
13305806725526620574664273849389075787	Astro
133108411206281597105888584651835104020	L6_IT
133206178745319280391851493148361184519	L4_5_IT
133470383562027258718990262940147222662	Astro
133481582668632805973291811639524214023	SMC
133498468533497173484749777318951309861	L4_5_IT
133636846934244141120549413601344497120	L5_IT
133905108268584591779280270639970757232	VLMC
133956340037553601175543842713259668345	L2_3_IT
133997152381974797452463905731599980925	L2_3_IT
134009011824297408119086176760255935488	L5_6_NP
134025348672407663229349262409322561884	L6_IT_Car3
134070245838579574964018942956326334547	L6_IT
134096677038907797358265218772819095536	L5_6_NP
134165775345181660761552125904454753211	L5_IT
134219128257564111901502299111026605508	Astro
134365405188834992499400335434773201767	L6_CT
134419990687415089144070171947426798775	L4_5_IT
13445710306723713944258354258146099497	L4_5_IT
134511377797914063824697217867942710858	Pvalb
13454253362200055922835066623048289484	L5_IT
134549613688011130340336375864965464628	Lamp5
134645439694868726532637240224274233795	Sst
134651493064205552192592769404294276043	Pvalb
13465599080073043197788787818158258788	Endo
134693850265133933854117614965025288794	L2_3_IT
134755427571654455104654730716287141279	L2_3_IT
134818778556015959942838499812173764315	L2_3_IT
134853793967617098741207307709883834115	L6_CT
135067766034344693298045512887205204636	L2_3_IT
135105555693834556977418455679912024619	Astro
135139352225274944404543935452200206268	L5_ET
135302794711924507440611556432116572944	L5_IT
135363593594618055681923533178089829248	L5_ET
135423778899640351287078292154986610170	L4_5_IT
135446761041641164331146173192937635288	Micro
135515390941662342852849863497404993839	L4_5_IT
135615468695376228062388019142397110909	Vip
135663612377688980529835436854912122964	L2_3_IT
135801044878645608910953902482812496426	L6_IT
135856515146077750949627946814398314675	Peri
135861144701718812801630008340538058841	L6_IT
135890966195005321943096737938038700214	L5_IT
136032088826130238925325419295301011669	Endo
136062466063109325091050592045289497613	L2_3_IT
13608072024613191740099826438791010701	L5_IT
136118276331655705521115521810150450924	Peri
136167951586748042364680415473305838320	L6_CT
136206811681965737973450650626289432726	L4_5_IT
136338037670501590897863249222072395319	Astro
13684257990646035141971384488747614421	L5_ET
136975755642501563811410761509626092821	L2_3_IT
137126427776210438369528614004314413350	L2_3_IT
137233640207024463788269642805766258274	Oligo
137289132424726872250806104164043382304	L2_3_IT
137395170235539739565765503306651721992	Micro
137631081588155574942506686539388021448	L6_CT
137892169048964695860281869236372498636	L6_CT
137947349575931039321550530191280239569	L4_5_IT
137981098199247793342070190605019902961	L2_3_IT
138109687274017997671992725780890907246	L6_CT
138149667521237400394369153543513203175	L2_3_IT
138172596933491700884161822979868611622	L4_5_IT
138287141698054808167638614914838410455	L6_IT
138503686887017987234960816811317225624	L6_CT
138515668863978752517858361548172563308	Endo
138532602482537270654789613487821610161	L2_3_IT
138604867146419459709630763883139364465	L2_3_IT
138753786933580325478591751940289778985	L4_5_IT
13875899806080738370193609928013921070	Astro
138857097134129236094278311488556021934	L5_IT
138859252589333254203359838872261589501	L2_3_IT
138970724710511753472121636195110376208	L4_5_IT
139050441805955343490194896389584181964	Endo
139074341336865529207578471877250071507	L4_5_IT
139087644500304114139552624652658543343	L2_3_IT
139125871641802736682163375317257166843	L2_3_IT
139147386013940944973541662304819858681	L2_3_IT
139209117985135755856051719096187961538	L6_IT
139435307251601400188706986820495906760	L5_IT
139446745782746144236895986392810675696	L4_5_IT
139627803086369017737351452959111434648	SMC
139665327729831356473344016215073920568	Endo
139670283580368496083127938920088518658	L2_3_IT
139681088223189351988356093122697372855	Vip
139682608837126527973214708026738559770	L5_ET
139741893588468412658109088385934167044	Micro
139893093057957818245907155686898785879	L2_3_IT
139929584725955040142905611052409253990	L6_IT
1400172257028099142812581695216429783	L6_CT
140042406421343869493474268354607597299	Pvalb
140077955263982049859417342498222174290	L2_3_IT
140088214501355637828178979569039522166	L6_IT
140101130818639716753273359779575290292	L2_3_IT
140174036153134753769120839401437789357	L4_5_IT
140198439809155779355550195093467924731	L4_5_IT
14021378680652757179742957708491748719	SMC
140320144017055839647620566970327569783	L2_3_IT
140370821343257446512468367072340037078	L5_ET
1404638741025613862821364673954841211	L6_CT
140471254238717303501713590942706407435	Peri
140561592775050251705238331930148094294	L2_3_IT
140573606855541448353510539599334320747	L2_3_IT
140593325696012872952303977905167901782	OPC
140624011409880955087561515934358312636	VLMC
140669276321864880963624512463491343654	L5_IT
140761686253127695098823455643083101369	L2_3_IT
1407817356650941208617598691866681499	L2_3_IT
140816985478972499605993204218464799509	L6_IT
140819131600611544530604592964842154145	L6_IT
140874447962458796539641909455929362478	L5_IT
14096692495354805193001421848396812204	Pvalb
141117970588375142247434670363170180624	L2_3_IT
141205000092141915245900645335748849814	L5_6_NP
141229709623189721626783467025422935382	L2_3_IT
141257191130812127704560562729455811134	Sst
14137014734257491690007165896795736010	Endo
141483870871056874494063945207332449623	L5_6_NP
141547277750399873230170253460896358084	Vip
141560096350640332137042735732348167140	L2_3_IT
141663462893562695849984572782797534467	L2_3_IT
141767465838160779066983486235249191907	L6_CT
141964471521138622233549189372978052827	Astro
14201041016478385318891646438166260606	Endo
14206378958753643797575564656631850020	L5_IT
142134651808197732711993456089743296429	L6_IT_Car3
142137939059438502412978552510620281516	L5_IT
142179266052797902841775567544282344786	L4_5_IT
142417426989326576692417312545192230560	L2_3_IT
14254852112225201597025903808571890133	Micro
142598043794931982619860894277584102647	L6_IT
142722738993581089613043452557535300934	Micro
142815914310946334082183548011010573783	L4_5_IT
142831254306962246659197951402559463600	L2_3_IT
143131885450433423573258596297792016300	L5_ET
143136697672530444113886764810790049632	L2_3_IT
143137810729911228060445384600442838365	L5_IT
14316679271120027461336997607589733902	L5_ET
143200134419300966738870731797755380223	Endo
143243478020113032952014864588152368326	L4_5_IT
143289088436584947082475622857530211287	VLMC
14330037537399860890833645318010266798	L5_ET
143355025948092430141548479951644198776	L2_3_IT
143404649247993441470279619485365620163	L4_5_IT
143778097048981609844198336056985501343	VLMC
143825888781215246011293238376707095360	L2_3_IT
143864507874009764946986615924453693827	L5_ET
143939462237917823012893261885101554725	L5_ET
143969164186051212873581266003917189293	VLMC
144002104148787905215958134640847377749	L6_CT
144005562917495232869052244297356351879	Micro
144014728082347949497911843265532452186	Astro
144037999962948009924006727343022143107	L4_5_IT
144312193681345162143042165904903504548	L2_3_IT
144548110034671843640331948537227048764	L4_5_IT
144656016884135430462435691655077747887	L6_IT
14466038359969632109748286428072896778	L6_CT
144709854483595787295689663496399107931	L6_CT
144740284021897348146477588624079314795	L4_5_IT
144744014373820703633183785949638845688	Sst
144944538402667441797423405548265858467	L6b
144972704494554029513656146521127615946	L4_5_IT
145029011352007136525991915761543761690	L2_3_IT
145155615789639917071218523721046218317	L2_3_IT
145327556901793179283296565635943085690	L6_IT
145336212390777520723568164044114634680	L4_5_IT
145384449689989409070596603249666151039	L4_5_IT
145428253599814138464866103935135767607	Astro
145545142121539228518908232546375289604	L4_5_IT
145600829526577452256705364602858532664	Peri
145713225767433529017900199655949706560	Endo
145743362657606819047546545740731364368	L2_3_IT
145845176747446342788311675863269324722	L6_CT
146050488192793020217548783125293575835	L2_3_IT
146092978862756334207746888528080111562	OPC
146106884006979298995320323673527470691	L2_3_IT
146239974353496506659443728222462028137	L6_CT
146326030467151409296173249773754138948	L4_5_IT
14634284487931265539315728715956196408	L2_3_IT
146404237307007454085979855341274940715	L5_ET
146494932507975109573428938962693341688	L4_5_IT
146522578791024958217160711706172964556	L2_3_IT
146527831841678074952447720312486355264	L5_ET
146581575483627974664122492203304659759	Sst
146589899840976964339258946674460971234	L2_3_IT
146651653335421555198090115818377048448	L5_IT
146790776748199333241376845190569525645	L2_3_IT
146824694735413062550907949630060580313	Oligo
146906637731122102517577363317345132851	Pvalb
146963940521369692319856574974245769981	VLMC
1471673405619454640729030381979073733	L2_3_IT
147212567431422875530874488242404314444	L4_5_IT
147247447186337531157602829746045165411	Endo
147259876535861643505945469734321408407	L2_3_IT
147278671546501506438664744529556967580	L4_5_IT
147287140875970397785553464128776509410	VLMC
147309033946749819719521264355308366124	Endo
147372623427744354274977655642154122702	L2_3_IT
147411116213954295296447356083098281031	L2_3_IT
147625617840708302048908637347555976294	L2_3_IT
147826449600712104282252132712548109195	Micro
147833190640958185205249684031057179627	Endo
14794792563487127015954798110009713653	L5_IT
147952248556863638468382504635848441583	Lamp5
147955137545097545957416543086447680576	L5_ET
148025422283976529634874584537694192913	L4_5_IT
148027965274845813787574862156040418957	L2_3_IT
148085072410262340119024911378729912254	Astro
148141042034066939082168858393442488745	VLMC
148234738732530135462790660177264253253	L5_IT
148247942976544369203228330130907003961	Oligo
148251941362464931817088648863994266071	Endo
148557816036153278174040799707997715047	Endo
148590710591811498279542896467701591856	Vip
148634350416808848504384818550277769776	VLMC
148698551563174038060340615389181882932	Lamp5
148727439577527084014703026607503102744	L2_3_IT
14875063427411396832594584258365770278	Sst
148815427890387035513913918893530803651	Endo
148985468305407001273846493894579623342	Lamp5
149066921067390942831188720337426613769	Sst
149080017558563002404143940885400451640	L5_IT
149346979155628824221049720458300449793	Oligo
149404488892218434989203654587277276763	L5_IT
149456286389635307814167614924980224435	L4_5_IT
149537272889930861783960004135555517746	L5_IT
149556575385234449934194157737411193451	L5_IT
149736735152191545990270851197500219765	L2_3_IT
149746335147921050340015368952495285959	L6_IT
149757613927742972647311018198425960180	Endo
149771338505919399061347736983789064525	L5_6_NP
149776975174384866876571587520578902640	L2_3_IT
150093349949505953578593464003578865155	L6_IT
150109920196368600898637986853077992558	L6_CT
150127005761133450682473544857667066955	L4_5_IT
150137598650814416498464240713451941385	L5_IT
150226494654285793659367348716471372631	L2_3_IT
150295425285424511328635565764289777804	Endo
150362755728643143114099696010411152183	L5_6_NP
150379153728608454229361251988101889791	L4_5_IT
150399941455819539954900797351571812538	Astro
150545603145631256867174203963228198496	Sst
150596284671765730645425607474088521486	L2_3_IT
150817991093285851937570125291876901765	L2_3_IT
150857957978587921967903619754742640110	L4_5_IT
151298417807920115832726999185190089646	L5_IT
151420631058538969954800395926267940205	L6_IT
151436910383908344494554020120640464133	Astro
151482363565431761197260568380330558177	Endo
151490276104134482398551426146899601026	L6_CT
151500807850605339410539160372080624012	Micro
151526153313547564862311818624500171689	L5_6_NP
