Oligo	VLMC	Astro	L4_5_IT	L5_IT	L2_3_IT	Endo	L6_IT	Sst	L5_ET	L6_CT	Peri	PVM	Micro	SMC	L5_6_NP	Vip	OPC	Pvalb	Lamp5	L6_IT_Car3	L6b	Sncg
0	0	0.100102396919322	0.0366320810139407	0	0	0.0060525710724855	0.0897160673071448	0.0200968252817359	0	0.0320662855962291	0	0.369705515272688	0	0	0.345628257536453	0	0	0	0	0	0	0	0
1	0.0245153457979566	0	0.0209256257392841	0	0.0110087308059774	0	0.922731793189305	0	0	0	0	0	0	0.0208185044674771	0	0	0	0	0	0	0	0	0
2	0	0	0.604599860740778	0	0	0	0	0	0	0	0	0	0	0	0	0	0.312094309613442	0	0	0.0833058296457804	0	0	0
3	0	0.0137017260196799	0.52474456703127	0	0	0	0	0	0	0	0	0	0	0	0.163802177998838	0.0401497014047674	0.185711221401959	0	0	0.0718906061434842	0	0	0
4	0	0.179837478467096	0.0222687128994128	0	0	0	0.0541223502087012	0	0	0	0	0.644815887496515	0.0685624103922467	0	0.0303931605360282	0	0	0	0	0	0	0	0
5	0	0.239368824441189	0	0	0	0.3111039624779	0.0335102655711306	0.0542711016661756	0	0	0.137174098286091	0	0	0.0889972562943125	0.0765620601741704	0	0	0.0590124310890317	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0.095948036556529	0	0	0	0	0	0	0	0	0	0.904051963443471	0	0	0	0
7	0	0	0	0.0219588247075317	0	0.0183383265055195	0	0	0.209783154369867	0.0205287340464554	0	0	0	0	0	0	0	0	0.349657666660118	0.379733293710508	0	0	0
8	0	0	0.128066129350986	0	0	0	0	0	0	0	0	0	0	0	0	0	0.549561716612108	0	0	0.322372154036906	0	0	0
9	0	0	0	0.194991262646205	0	0.701052198049842	0	0.0574215267286352	0.0227694187197941	0	0.0237655938555237	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0.458031450222159	0.153250472791864	0.213909521452461	0.0150405206831195	0	0.159768034850397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0.967371354815738	0.012382258522705	0.0202463866615571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0.234021445748545	0	0	0	0.0269526983486797	0	0	0	0	0	0	0	0	0	0.739025855902775	0	0	0	0
13	0	0	0	0	0	0	0.950831159575321	0	0	0	0	0.0130173322181237	0.0177230891871483	0.0184284190194062	0	0	0	0	0	0	0	0	0
14	0	0	0	0.171274441442254	0	0.169579516478323	0.346811660358438	0.260437668295801	0.0506237329457664	0	0.00127298047941754	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0.88188396908787	0	0	0	0	0	0.107912317877095	0.010203713035035	0	0	0	0	0	0	0	0	0
16	0	0	0.121441014579318	0.276228255499121	0.227343601609939	0.188888311478618	0	0.186098816833004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	0.139539137314689	0.345075889900655	0.259398656150721	0.0225737960192699	0	0.233412520614665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0.019568391959209	0.112693245414615	0	0	0	0.130506417723546	0.73723194490263	0	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0.00514706208123806	0.0349077663785681	0	0	0.0352844880586858	0.00583632377848122	0	0.00492274595670888	0	0	0	0	0	0	0	0	0	0.913901613746318	0	0
20	0	0	0	0	0.0417257790411832	0.463987689817097	0	0.00440647964616977	0	0	0	0	0	0	0	0.483675556005917	0	0	0	0	0	0	0.00620449548963314
21	0	0	0	0	0	0	0.813899875070317	0	0	0	0	0	0.186100124929683	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0.364221883623935	0.188146731291127	0	0	0	0	0	0	0	0	0.260812281154445	0.186819103930494	0	0	0
23	0	0	0	0.0153835816914245	0.402143171487861	0	0	0	0	0.582473246820714	0	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0.0583423289900566	0.0993994354538256	0	0.00683402545694444	0	0	0	0	0	0	0	0.830920632784928	0	0	0	0	0	0	0.00450357731424515
25	0	0	0	0	0.0177173478648549	0	0	0.0657808272474928	0.766029706228234	0.0259616708894655	0.0344217381069115	0	0	0	0	0.000436722760088775	0	0	0	0.0896519869029521	0	0	0
26	0	0.0505260518640649	0.0716408912484315	0	0	0	0	0	0	0.0325825325566018	0	0	0.13963525608665	0.104106563038471	0.559608317518454	0.0419003876873275	0	0	0	0	0	0	0
27	0	0.893324497183075	0	0	0	0	0.0765259361434484	0	0	0	0	0	0	0	0.0301495666734765	0	0	0	0	0	0	0	0
28	0	0.204139406355127	0	0.274240103715558	0	0.148285985721088	0	0.0992674071237927	0	0	0	0.0448495675860858	0	0	0.102318638681709	0	0.12689889081664	0	0	0	0	0	0
29	0	0	0	0	0.0323910918489696	0.391189301600737	0	0.00416070888190026	0	0	0	0	0	0	0	0.564209727373303	0	0	0	0	0	0	0.00804917029508961
30	0	0	0	0.706260074021867	0.0694369780150822	0.224302947963051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	0	0	0.039906839264638	0	0.29437583331597	0	0	0.0189337246101213	0.500840323064757	0.145943279744513	0	0	0	0	0	0	0	0	0	0	0	0	0
32	0	0	0	0.214994811539958	0.132425306962432	0.0640033342998132	0	0.0939866111604982	0.0215375106398247	0.473052425397474	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0	0	0.698413277510935	0.0451278112899709	0.164303585944004	0	0	0.0921553252550909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	0	0	0	0.37829661668124	0.584758409688561	0.0171207426026495	0	0	0	0.0198242310275494	0	0	0	0	0	0	0	0	0	0	0	0	0
35	0	0	0	0.217072413475765	0.346511230265699	0	0	0.292677481597045	0.0339814198377003	0.0340765941981527	0.0756808606256374	0	0	0	0	0	0	0	0	0	0	0	0
36	0.190602734846291	0	0	0	0	0.01052343485983	0.00253596776660762	0	0	0.108367168528853	0.00163623717981925	0	0	0	0	0	0	0.686334456818599	0	0	0	0	0
37	0	0	0	0.0199919491201768	0.116679450843745	0	0.723917418903422	0	0.0181034397299841	0.060143810407204	0.024492457940075	0	0	0	0.0366714730553934	0	0	0	0	0	0	0	0
38	0	0	0	0	0.00721463113356175	0	0	0	0	0.608375484552179	0.199688683651673	0	0	0	0	0	0	0	0	0.184721200662587	0	0	0
39	0	0	0	0.58417876186296	0.196530710377496	0.0794296340267165	0	0.139860893732828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	0.00398415842211868	0	0	0	0	0	0.666174771193038	0	0.0202336520681318	0.0167665218609524	0	0.111374256949056	0	0	0	0.181466639506703	0	0	0	0	0	0	0
41	0	0	0.126068873396219	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285492178527092	0	0	0.588438948076689	0	0	0
42	0	0	0	0.0822031020838526	0	0.358955146872343	0	0.0646374820439743	0	0	0.473100242078441	0	0	0	0	0	0	0	0	0.0211040269213888	0	0	0
43	0	0	0	0	0.236700775443233	0.484832815469978	0	0.278466409086789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	0	0	0	0	0	0.84544216307231	0	0	0	0	0	0	0	0	0	0.149837058623952	0	0	0	0	0	0	0.00472077830373778
45	0	0	0	0	0	0.508325841904451	0	0	0.311600747317235	0	0	0	0	0	0	0	0	0	0.180073410778315	0	0	0	0
46	0	0	0	0	0.0766397588889416	0.743281528458312	0	0.180078712652746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	0	0	0	0.070655283314342	0.412598817710051	0.0542391790605116	0	0.399512298826273	0	0.0369898921669803	0.0260045289218419	0	0	0	0	0	0	0	0	0	0	0	0
48	0	0	0	0.00778602515096611	0.0300486936199403	0.0164337589203185	0.0747260414395588	0	0	0.855145196740012	0.00229067072918019	0	0	0	0.0135696134000237	0	0	0	0	0	0	0	0
49	0	0	0	0.942994519766772	0.0185194674229382	0.0384860128102903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	0	0	0	0.205102618307967	0.541914219102265	0	0	0	0	0.0472472952010324	0.114721648176825	0	0	0	0	0.0910142192119104	0	0	0	0	0	0	0
51	0	0	0.204348668158048	0.0574488297187663	0.0732823983067164	0	0	0.0193646708703741	0.268486948676344	0	0.0200864406503159	0	0	0	0	0.000577789348786543	0.356404254270648	0	0	0	0	0	0
52	0	0	0	0	0	0	0	0	0.0231477520832872	0	0	0	0	0	0	0	0	0	0.976852247916713	0	0	0	0
