LSI_2,LSI_3,LSI_4,LSI_5,LSI_6,LSI_7,LSI_8,LSI_9,LSI_10,LSI_11,LSI_12,LSI_13,LSI_14,LSI_15,LSI_16,LSI_17,LSI_18,LSI_19,LSI_20,LSI_21,LSI_22,LSI_23,LSI_24,LSI_25,LSI_26,LSI_27,LSI_28,LSI_29,LSI_30
X100047181052654346224529175853339022386,-0.267601778688871,0.326330713125287,-0.414313193979146,10.8123298001833,4.1441267996304,-1.6443674036494,-5.73859259003418,5.52857284477764,1.14005421750825,1.68910375754176,-1.28178016720455,0.335711697799414,-2.79113038198909,-1.89436876405505,1.05761077663232,0.046812181963485,-0.835526772451932,-2.44494076977096,0.861024212776688,-0.113281607601581,-0.956074779821939,0.812546408958576,-0.854402437761936,0.615750235355904,0.156051098096442,0.0603279088012827,-1.01049411713059,-1.68844205336786,1.02686438775994
X100144987682981782100923292757524648699,2.68495827869845,0.730566184134298,-2.66289083095503,-2.88759501693471,-4.33787875865182,-0.826999223108126,4.39461817132587,6.96008715984302,1.62704433913797,-1.98948220731016,1.96227810411023,-2.77238892399931,-1.98482672253839,-1.6859474108486,0.221894998242187,3.18353792724127,1.85135040588515,1.39253818282751,-0.876023124299669,0.350309949306662,0.892127620552459,0.941736083227094,0.225656677948836,1.03610845319811,-0.510440259559618,1.41228748732211,-2.13490777797725,1.39453668847793,2.24654380309164
X100267747580756240041023704492842942950,-0.387835860414664,1.68924423816206,2.63197819858989,1.32545770602369,-4.39832682237612,3.32739237849353,-1.47660901094708,-0.412933995445696,-0.733948447609884,-0.0150026771421851,-1.18368107428413,-0.861024162162313,1.16891498248236,-1.26526464482081,0.961740759690485,-0.265155605353064,0.483833231880779,0.701941834512739,-0.303182511046379,1.66908573666655,0.272198295823163,-1.60268680946227,-1.16674161825944,0.411472890857346,0.512047472478364,1.36646790952103,-0.227733133549291,0.29337506409776,1.73883910282552
X100380418078413692631351412383892166094,-0.114241156747227,1.12320674621993,2.69533881552664,0.155668292335269,0.864916648995587,-0.334296562482683,0.921141006105508,1.23899845668478,-2.09221034386453,0.113857518553924,-1.10440603985299,-1.40166700634101,-0.573865115028905,0.634709083807723,-0.228954747054663,1.51613037086759,1.24375922375598,2.21196993740329,-1.12313227796198,1.75114845505199,1.15988829492755,-1.36754902428352,-0.0348064521932829,0.851767246246265,0.316357179689072,0.328149203437297,0.404271529783932,-0.52337020913655,-0.208605082154871
X100416591302420540942373170232872783233,0.168352000212888,0.557396829323599,3.45595123065895,-1.04993415703579,1.63300519885459,-1.83923553484658,0.680154392149362,0.909162999779243,-0.767388619478768,0.955551700980124,-1.16258849851739,-1.34122061184324,0.0443019080083878,-1.85373284180692,-0.04018932744786,-0.280395053109572,-0.503669321336463,1.39550802575584,0.452581910791653,2.70820688213629,-0.181775018856846,-1.28889417920638,2.3842152382517,0.639880399847586,1.1573134811126,0.95718188797542,2.97054611459006,0.338697573638972,-2.68599727008947
X100437568120019600927652936190009214346,-0.685155481481607,2.15505075513695,4.02828171450437,-1.52416845423521,0.552376635639316,-1.50440991354797,0.0500007176294492,0.0439972147208122,0.0312861743981206,0.945658921937721,-1.54837315390406,-0.364334075110761,-1.24518983877677,0.353490353211918,0.346244296911917,-0.343088879055505,0.733572969070678,0.395955855658177,-0.0868403584266279,-2.19874032730063,0.459466677297748,-0.0790525520321471,-0.760690939311268,1.69721556995011,-0.445893431371537,0.895067939448951,-1.61373484838416,-0.810686284875904,0.903629595553103
X100520046493178546699313517559503591662,0.860071194988043,0.922783122068942,-3.450573363057,-2.50046941834793,-1.37945474133972,1.90824176412938,-0.87835817900247,2.53724911355747,1.72431205143973,0.506849366527369,-0.467765632297939,-1.60591956029953,-2.42981652800652,-0.684689978487383,-0.380556560490949,0.590567766307898,-0.8862217261501,3.03497507721827,-1.82720257395806,-0.318092061154008,-3.30488001739141,-1.23966501942253,-1.22710366741884,0.53653085864527,-0.118952756028081,-3.21083606161195,0.0393985946383698,-2.93925788977682,2.83945769788834
X100542677892296141453580613270127987555,2.50000182984183,0.490049151291723,5.07069033681349,1.17836351248809,2.93659939466464,4.17649358089723,1.84005216362107,-0.462929046120568,1.60844914272027,-1.04554905294919,2.53602131681218,0.588225684156199,0.439080094642737,-0.602012485405717,-0.183827971419894,-0.81327015445017,1.19977086922005,-0.130386092463223,0.208230725516615,-0.374590153987337,0.490399955827398,-0.54888393612004,0.580403348724174,0.0337665569025068,-0.900785965525922,-0.879644125099214,-1.74830913178084,0.226831876973956,-0.283353793440236
X100710098199264639646181147670539642555,3.16924392318818,-1.06161922264637,-3.79016810805494,-0.230585118817339,-1.57596998055657,-2.09106880272701,0.917064925415582,1.24468806703876,-1.59698287574504,-0.0163451843934126,-1.82983009583665,0.148216899576223,-0.337499632454926,-0.424505878990307,-0.530326759771367,-0.586026163739073,-1.3526993644551,0.300665398100753,-2.87201525472244,0.414576690949115,-0.896663270052332,1.37138260943626,1.35761877816362,-0.477211350899417,-1.08822774947674,0.883004512966408,-0.828156720253543,0.231852377749622,1.26663480167808
X100711744188560459860855719622720771969,3.69828412746182,0.269583888745294,2.87672043198982,0.909862965281528,2.02921700968655,3.58721377700441,1.27599378784368,0.0296146691652931,2.45168840378763,-1.75362983421157,0.392494551099469,-0.219191721823288,0.702944409870472,-0.885123596043429,-0.0878822589503021,0.0586285650790798,-0.109096161926994,-1.23533202510699,-0.332919708652508,-0.149083393377676,0.0821349664255961,0.259531921440923,-1.01760740688374,-1.31056337733141,0.2445591673029,0.0844715915720553,0.367396205347551,-0.125952947349284,0.445893399529982
