cell_id,LSI_2,LSI_3,LSI_4,LSI_5,LSI_6,LSI_7,LSI_8,LSI_9,LSI_10,LSI_11,LSI_12,LSI_13,LSI_14,LSI_15,LSI_16,LSI_17,LSI_18,LSI_19,LSI_20,LSI_21,LSI_22,LSI_23,LSI_24,LSI_25,LSI_26,LSI_27,LSI_28,LSI_29,LSI_30
100047181052654346224529175853339022386,0.29792044,-0.055540953,-0.5618439,10.57924,-2.2332628,-1.5954735,-3.8242621,7.1251817,0.87524414,1.1094477,-1.6848359,1.1882339,2.2982535,-1.710645,-1.6785332,-0.30516872,-2.283649,-0.6213687,-1.0188894,0.5788063,0.50600415,1.3663429,-0.2416381,0.7211485,0.67100996,-0.68632376,1.5652481,0.492886,0.38726807
100144987682981782100923292757524648699,-2.5253377,-0.5336592,-2.5073266,-3.1358159,4.315745,-0.47331917,5.84872,4.4884863,1.5872275,-2.2168748,1.442935,4.4050055,-0.15942593,-1.7614836,0.094803944,-2.6680677,2.630017,-1.190606,0.5731633,-0.5368673,-1.5152347,-0.08635427,1.0009949,2.3929935,1.7886274,0.76661956,-1.0638868,-1.6486766,-2.7895274
100267747580756240041023704492842942950,0.5824685,-1.443255,2.3504007,0.74189526,3.9812403,3.185028,-1.8569362,-0.5172253,-1.0198767,0.1652484,-1.051438,0.083323814,-1.3437132,-1.2405864,-0.75853753,0.28996435,2.013353,0.5165313,-0.52723104,0.8731302,0.60572803,-0.7464134,-0.5778532,0.57119614,0.87760407,0.48374265,0.10718236,-0.2731825,-0.8033065
100380418078413692631351412383892166094,0.11623456,-1.0856079,2.5006645,0.32577622,-0.79773873,-0.46722862,0.54032594,0.2852471,-1.8742613,-0.0012217433,-1.4134264,2.0385735,-0.18936065,0.44129413,1.0383236,-1.3617492,3.5185533,0.63746506,-0.18383907,0.45579487,-0.5331398,-1.1046785,0.13089766,-0.12237659,0.8290608,0.16487809,0.2783565,-0.08580598,-0.20283778
100416591302420540942373170232872783233,-0.01999581,-0.5297728,3.532592,-0.67403865,-1.5572525,-2.1725135,0.6893439,0.2897019,-0.5196983,0.85247046,-1.508723,1.3391373,-0.80271214,-2.3263032,0.3488835,0.17337441,1.8258061,1.8757862,0.04152362,2.0510733,0.58736104,-0.43458328,2.3616078,-1.9341147,0.5222207,1.0880955,0.47537133,0.08763981,-0.86616665
100437568120019600927652936190009214346,0.7560413,-2.3331177,4.3571043,-1.5221226,-0.42194745,-1.57835,-0.018072587,0.015196882,0.31266224,0.6908005,-1.6619027,1.1100472,0.70520186,0.6456779,-0.84208626,0.51606065,-0.4138626,-1.3464282,0.99744976,-1.694244,-0.08495131,-0.6520135,-0.65507394,1.0491956,1.4289119,0.18345703,0.8441263,-0.807966,0.043096274
100520046493178546699313517559503591662,-1.0093182,-0.8073518,-3.138763,-2.8708024,0.84911627,2.1738126,-0.37349728,2.0536408,1.4388857,0.16647342,-0.8152684,2.8251488,1.1477826,-0.9369202,0.1870169,-0.37790972,1.8398658,1.6854552,1.4781214,-1.8185867,2.118332,0.56317693,-0.6442871,1.1510212,0.11073685,-3.2416365,0.86492777,-1.5063127,2.5968316
100542677892296141453580613270127987555,-2.280575,-0.8026048,5.044569,1.7198117,-2.7869973,4.0126,1.42007,-0.7316957,0.8709142,-0.44624856,2.4718256,-0.58324194,-0.045558598,-0.5353758,0.43216518,0.7828782,1.1014866,-0.77511233,-0.007766368,0.10455095,0.18733555,-0.57225895,0.68433046,0.48713234,-0.7024237,-0.067158855,-0.34670755,1.1843892,0.44640526
100710098199264639646181147670539642555,-3.5956283,0.90680104,-3.9035287,-0.68394,1.6322367,-2.4597545,1.2247014,0.6796991,-1.3752234,-0.2567307,-1.9649154,0.27785385,0.39161757,-0.64277595,0.6252771,0.6619245,0.72264665,2.112979,-1.1814897,-2.0669146,-1.2055588,1.9005489,0.80506396,0.037696205,-1.0556457,-0.43070245,-0.5329729,-0.33054692,-0.48814076
100711744188560459860855719622720771969,-3.7130547,-0.44372892,3.089561,1.3490336,-2.0359395,3.881596,1.2925115,-0.14059085,2.0098147,-1.711368,0.6454744,-0.45595133,-0.8305564,-0.8402618,-0.14240798,-0.1666785,-0.5445226,-0.25700036,-0.966902,-0.19723281,0.070408955,0.057150602,-1.069173,-0.029262822,-0.9575697,0.9689543,0.76283216,-0.023344187,0.008799509
100770516509828923630978876061485719503,-3.8689585,1.8683654,-3.8239582,-0.1123391,-0.069811106,-0.80061316,-1.2999738,0.2826621,-0.40871742,-1.0281929,-0.18104059,-0.35218188,-1.2782571,0.08435963,-0.38463947,0.6968523,0.21405768,-0.46436566,-0.6828552,1.2115519,0.40056467,-0.7230683,-3.0195951,-0.02128725,0.7797385,-0.029391715,0.6707027,0.8425208,-0.41527855
100842549546626171241991454564639654183,0.79980713,-0.47224918,3.8899887,-2.327141,-2.0836012,-0.7781607,-2.3459084,-0.07650855,-0.6101468,0.98527354,-1.8649907,3.5411243,1.2837577,0.45232084,-0.8854912,1.4619899,3.1284804,-0.85938656,1.6052907,-1.3735664,0.9670274,-2.9527287,0.09907311,1.7870693,0.87162316,-2.1704412,-0.87758356,0.2090028,0.59334946
100950987248696023627512659113223722976,-4.01389,1.858315,-2.3685236,0.5584608,1.1362488,0.6438886,0.01826011,-0.38381234,-1.3848112,-0.5468814,0.12227498,-0.9575198,-0.082170755,0.6144322,-0.39432266,-0.17816098,0.0051205847,-0.5308162,-0.38352445,-1.6314945,-0.56439936,-1.5708841,-0.411736,-0.17608505,-0.27830276,0.04924638,0.49877706,-0.3852019,0.56610477
100955601535943672754469769793722395470,-2.8582094,-1.2895699,1.8533154,0.49511448,5.5844355,1.6490707,-0.21207038,0.5085958,-2.5479963,-0.03391874,-0.17824426,-0.18693389,-0.0665479,-0.8172374,0.44452816,0.64383096,-0.06361437,-2.1768003,-1.2552686,-0.9435798,-1.2827673,-1.1205693,-1.6020144,-0.2463132,1.0027741,0.5096164,0.42283332,0.13447645,-1.4231261
101040309230617229467963033777200410268,-0.762543,-1.0553446,-0.95909,-0.548734,-3.8262756,0.05719512,-2.793622,-1.959044,-1.349746,1.584956,-0.20352122,-1.0851402,-0.79458606,-0.4244565,-1.4609084,-2.0778592,0.25094637,-0.070267014,0.95071644,-1.0814849,2.2567053,1.2172532,0.21310382,0.75128496,-1.5314972,0.12703101,0.9989544,0.4833584,0.18699786
101290319453327493294362411320830756503,-0.22379214,-0.9219557,0.27284896,6.7062893,-2.702587,-1.2484311,-3.3470716,5.2324595,0.8934313,0.26108128,-2.3803458,0.14952397,1.6434551,-0.6154199,-0.8539898,0.17446941,-1.3637906,-0.5086734,-0.7039582,0.63491756,1.1333802,-0.07869331,1.9921471,1.8730993,0.71027875,-0.41364413,1.1680042,-0.648722,-1.7592432
10133650427379796965274679508791717579,2.2473173,-1.4517123,-2.4720242,-1.6168939,2.244122,-2.3928077,-3.7976532,2.0024536,2.057604,-0.36749628,4.696996,-0.8536969,-1.1923183,0.2623733,1.1578802,-1.4811826,-0.49906918,0.3551866,0.019764064,-1.8762131,0.023158608,0.53500557,3.3569436,-0.032111757,0.8448586,-0.482413,-1.4306209,0.17333314,2.624747
1014011257225273380454238515543761957,-0.2602614,0.007078594,4.6962996,-0.5875365,-1.0569267,-3.2290778,1.6841085,1.3602916,-1.5367024,0.42778778,-1.9979087,0.69579047,-0.26977274,-0.45433038,0.25113896,-0.43098387,-1.164177,1.6397067,0.97374016,2.8673532,0.3829846,-1.630493,0.54477537,-1.41482,1.6416377,-0.3534596,-0.117105655,0.26842925,-0.078998476
101514388755449993173560206320331861974,4.5670238,10.385245,-0.44730234,-0.93186957,-0.8146245,-4.273268,0.6611011,-2.6759334,1.7799852,-4.4111786,0.5511431,1.0585259,-1.0335277,-1.0612711,-1.3185593,-0.57304347,-2.9168665,-0.27344516,1.24109,-1.025528,-4.014775,-3.2551346,0.40018123,-1.6560762,-3.1678128,0.87914443,1.7473809,3.140718,1.4456211
101731390169942732810880467783376149464,4.2310195,-0.16966976,-1.0641431,2.3221822,-3.0330744,0.29540834,4.9042206,-2.1934645,-2.962967,2.1484578,2.1786551,1.6122453,0.90999913,0.15079609,-0.10172529,0.5617671,0.5651978,0.19734244,0.6732836,0.16318859,-0.9265638,0.24430957,0.9293699,0.102236345,-0.35985547,1.6786073,0.5022262,-0.055737607,0.86743724
101832018081624702142421097643353058000,4.042388,-3.8705118,-1.7548571,-1.3800379,1.6359763,0.17082286,-0.36900303,0.2496654,0.17147185,-0.5476389,-0.5116935,-0.8001989,-1.7410636,-1.0533167,1.2484981,-0.6686464,0.59016633,0.04324055,-0.24966455,0.96782655,-0.023343274,-0.82676584,0.011465314,1.2644906,0.1551388,0.9683205,-0.7990449,-1.2818425,-0.5614171
101850681050949321874175106772440276305,2.31544,-2.78212,1.3209385,-2.9048386,0.023941863,-2.4666018,-2.5411282,0.16924733,-2.120428,0.4450798,3.9873452,0.0941123,-0.8160359,-0.21298663,-1.1091603,1.490647,-0.70392704,-2.3944275,-1.317169,-0.78764325,1.1897076,-1.031088,-2.4445074,1.4266785,0.72562045,1.8715017,0.65020216,0.42266333,0.6974427
101923412293028741557740364778568352912,0.3925065,-2.00501,2.99999,-1.2617494,0.2701454,-1.1068964,1.3114947,0.8782951,0.07661379,-0.3580047,1.0360395,-0.7706391,0.6986154,-0.69991696,0.3266434,0.21123867,0.33054543,0.9829902,0.0067236726,1.3660374,-0.15753376,-0.74250823,-0.07778943,0.3216658,2.3097448,0.046493832,0.08594106,1.4600711,-0.0015317476
101947708619388374865955767260108748338,-2.7902503,2.164093,-3.3001812,-0.29650596,1.2758025,-2.4477706,1.2217648,1.0397,-1.2914174,-0.40179062,-1.6119133,0.29697394,0.7996478,-1.63003,0.09056627,-1.5080987,-0.5756991,0.40718305,-0.68491787,-1.166846,-0.7876381,0.6222182,-0.5355703,0.0037796851,0.730786,0.5741456,-0.9383732,-0.25762856,0.48442656
10211118390275140178218693553065860949,-1.2712169,-1.9711444,-1.468109,-1.6846613,-4.1208,-0.86633915,0.6252072,0.2529614,0.66155577,1.1954464,0.029981485,-1.1149875,-0.27232647,-0.03377536,-1.7851928,0.91063267,0.58310777,0.22130854,1.035648,0.01050092,2.1165082,0.43328193,1.0750625,0.3836058,-0.2906801,0.49589425,0.9862953,0.837353,0.62447023
102138401151297659614140192164977221559,0.89446723,-1.084092,-0.3723216,7.2993402,-2.0603282,-1.6252606,-3.0437768,4.7260785,-0.1387405,-0.43232182,-0.063228846,0.3638626,0.31765616,-0.6067935,-1.2560478,0.13340238,-0.4511335,-0.64456487,-1.2060862,0.44681597,1.8084292,-0.3366024,0.6065299,0.6468693,-2.3629863,0.23195589,0.22709501,1.7753674,0.003005537
102295861303286750533722509490935319871,2.4071927,-4.1911154,1.6197834,-1.5727639,0.8290381,-0.8348074,-1.3839332,0.7161473,-1.7485266,1.9890668,0.84588856,0.86211365,-1.0416857,0.3472044,0.08606853,0.529875,-2.3780982,-1.248385,1.0794721,2.115243,-1.5232419,-0.24604204,2.5180664,-1.6234307,-0.047382727,2.960085,2.3271275,-0.9041752,2.8078718
102329940502936964350965875998000187692,2.3421478,-1.4154806,-1.0858437,4.297704,-2.699924,0.06343113,4.11171,-2.238928,-1.9578204,2.5014954,3.5022795,1.3570375,0.95578074,0.7283658,0.5612206,-0.019374132,0.56426007,-0.09653584,-0.22891927,2.2980428,0.70922196,-0.44342935,1.0857427,-0.14236332,0.23412289,0.82173383,-0.8536528,0.36729756,0.40180635
102369133092169646929318332475012764060,-2.7395873,-1.0264028,-1.1168883,-3.5503688,-2.9953392,-0.26062828,-0.57699805,-2.3610792,0.51396286,1.1455516,-1.037342,0.24626756,1.5788099,0.5992241,0.6648206,1.6403624,-3.209526,-2.116826,-0.13046765,-0.14296705,0.26184705,-1.3343753,0.5318665,-0.84072083,1.2076669,1.4162146,-0.7232463,0.22843799,-1.1757042
102500510899266198503869053721430715211,0.16230132,-1.6265163,-0.79081273,1.3019623,-1.399673,1.2222031,1.6635499,-0.6600649,-0.27115622,0.72507024,3.2911117,1.2981145,-1.0577575,-0.6561017,-0.37416017,-0.15701957,-0.2534383,-1.5218519,-1.799249,-0.16442768,-0.10413785,0.36696053,0.23034307,0.6210556,1.262313,-0.028739963,0.65254915,0.873101,0.63747424
102605093498008395642273795715434976140,-2.7983053,-1.1084319,-0.6534005,-2.8596365,4.292873,-0.8030893,4.6909747,2.9673514,-0.3946802,-2.5875938,2.3932319,1.0897155,2.520841,-1.2926166,0.49208894,-0.85070246,1.8410168,-0.4916376,-0.5019927,0.3944114,-0.9066925,-0.053211607,-1.1665958,0.19085586,0.72484636,-1.077486,0.3229987,-0.25915715,1.7800472
102630798889479537592018189193151183545,-3.101388,-1.1378701,-2.303483,-3.7535431,2.1907613,-0.11478439,5.154574,3.818178,1.1685534,-0.857441,1.8123218,1.0900352,0.42625695,-0.9211168,-1.8910958,-1.8463526,0.7587248,-0.910036,0.50059026,-0.85884106,0.93367314,-0.6239778,-0.052619226,0.9140528,-1.2339618,0.91140956,-0.4445316,0.2881423,-0.8405344
102719174358977551803816356674924478310,1.2905775,2.4519892,0.67259854,-0.200596,-3.937712,0.30273497,-1.1787795,-1.4290438,-2.1958058,1.1961694,-0.3950842,1.2084707,-0.04195725,1.1364625,-0.6754346,-2.306542,1.0674973,-0.7108463,-0.634143,-0.91551185,-1.6707432,-1.8012094,-2.5073395,-0.4662437,-2.243914,-5.0063753,-3.4281163,-1.5703908,-2.276419
102762764961926665751220904445159421327,2.4088507,-3.3280602,3.3257036,-0.63820225,0.5338546,-1.7527786,-0.19997919,0.41236833,-0.83041006,0.89477193,0.18490358,0.07853586,-0.92650926,-0.04309327,-0.5824805,0.5499288,-0.046450708,-2.286703,-1.056586,-1.2011524,-0.31107014,-0.61816895,-1.3771296,2.1636672,1.2506909,-0.21115632,-0.9569847,-0.21009143,-0.010315692
102870537692237395622163702944556475667,5.759072,-2.7638478,-2.318122,-0.68557996,0.12823422,2.655323,-1.0551918,0.38720337,-0.42594057,-1.3228663,-3.7091434,-0.008924613,-3.0462878,0.2809175,-0.8794856,0.36476123,0.3377474,-0.6519964,0.6565738,0.68193465,0.74051124,-2.338873,-0.47683373,0.8095223,0.87266994,-0.1048301,0.6929213,-0.54441184,-0.29750994
102908585387146366434436973489258714022,-1.1313219,-0.3230195,4.4283495,3.4442995,3.6172023,1.7700355,-0.38348314,-3.7978895,0.11321521,0.5338226,-0.6259572,-0.19915721,0.36591053,-0.502924,0.9619567,1.2956405,2.1372333,0.7308599,-0.5946363,0.8196963,-1.0267351,0.68353873,2.4616764,-0.547743,0.5256874,1.0726334,0.95083904,0.48707858,-2.3943484
102961153274706937193126587656972162038,-2.571716,-0.3569979,-1.2710242,-2.5984974,2.8776371,0.4063916,2.3845768,1.2136277,0.43415052,0.31395033,0.84857166,1.2171993,3.0003085,-2.686031,2.0749304,-1.5950534,3.7784913,-0.8667129,-0.7221216,1.0445969,0.041375313,-0.4219326,-0.77781975,0.14941941,-0.5639067,0.8543051,0.6764792,-0.32806483,0.3224713
103059365527586362447650942647026521319,-1.3548483,0.26165846,-0.2434909,-1.7693881,-2.2157066,2.1427255,-1.6731685,-2.346628,0.38809884,1.5610608,-1.5971023,5.626087,0.4520078,3.8682303,7.3428884,1.2858244,-4.5519466,1.4551723,-1.6363051,1.7024922,-2.2206805,2.4374669,-0.3680657,2.8474796,0.2854137,-0.25066978,1.8916831,-0.9200653,-0.75681007
103205043405221891887187035103989199675,-3.715718,1.2707261,-2.8811448,0.17631394,0.7930145,-1.8796577,-0.9022704,-0.3690962,-0.45843035,0.46644455,-2.0700905,0.06918598,0.43556723,0.41341755,0.56129795,0.40170372,1.8556314,0.62715304,-1.1747351,0.5512063,-0.40564093,-0.31250483,1.2486801,0.72771657,-0.30493605,1.8615987,0.6118444,0.14074771,0.88810766
103384017201440493716854958896156052945,0.41403162,-2.7724726,-0.49352443,-0.93168575,-0.7276489,-0.06779208,-1.5848652,-0.009035022,0.22947751,0.12434844,2.6783147,0.87021595,-1.8127866,-2.4749079,1.7017616,-1.2267855,-0.049745996,-0.047111757,-3.4876392,-0.86980975,-0.83161217,0.5953848,0.39103708,1.3048972,0.81112856,1.4445658,3.2722642,0.16608015,-1.6769497
103411609474924234227396703721662557657,-3.0391395,-1.6904022,-1.0668592,-1.5162123,-1.3595017,-0.53036976,2.2549505,2.809953,-0.6250101,-0.7430136,-0.027805157,-1.6187944,-1.6497328,1.6351535,-1.5339459,1.9477631,0.13016564,-0.34725598,0.8517941,-1.3894598,4.909978,-1.9202131,0.60855615,2.7695482,-0.4698578,-0.60207546,-0.25540927,1.1811671,-0.5070565
103703910702192779099450553160452984331,-0.3213929,-1.5925188,-1.3656248,-1.1539057,-1.6939672,0.93592614,-1.3563046,-3.0106843,0.45141864,1.5318264,-1.7222011,-0.89672506,-0.43755016,-1.1139591,0.40942997,-0.5304138,1.086717,0.5614624,-1.3620403,0.7410128,0.043558177,0.13279985,0.86928177,-0.01683124,0.055906553,-0.90776485,-0.3411675,0.06847407,0.34481943
103789311555996607474821057762334121557,-2.4029422,-0.76172376,1.3761208,-0.6095917,-1.3036314,1.0834993,-1.8925709,-2.9050076,-0.22604446,2.0138268,-0.71615136,-1.7351899,-1.1392075,0.22259285,0.21998926,-1.6786946,-1.01408,-3.269663,2.4760582,-0.15638866,0.7899124,-0.46367547,0.3622127,-2.4283092,-0.045114577,-0.2779967,0.37475932,0.112846665,-0.4547144
104078254148375929483440785584365448099,-1.9966397,-1.047866,4.2928786,-0.31017902,-0.088688165,-0.69215727,1.1255723,0.25642154,1.0659341,-0.9125451,-0.7899174,-0.74585354,-1.306051,-0.9393231,0.20730871,-0.042654593,-1.4673887,1.2213668,1.5716301,0.5161295,0.81752783,0.8811211,0.047826033,1.9402454,0.054427613,0.41274923,-0.3759789,-0.9773189,0.6171212
104193772921793607754911911626783090104,-2.8033109,0.31687438,3.2920897,1.7562559,-2.898695,5.663747,1.9805254,-0.53011787,4.665513,-1.0264866,2.3803484,1.1269491,0.7617753,-0.18815415,-0.022160187,0.80862045,-0.021987215,-0.66698384,-1.2798105,-2.486893,-0.39392224,-0.21732046,-0.7398517,0.7282133,0.6841169,-0.20322305,-1.2067527,0.83449745,0.4371539
104199012032694181036259463212136800428,4.050862,-1.674073,-1.8352352,-0.786084,-0.71516955,-0.7473017,0.9511501,-3.0541785,3.7033844,-0.8622154,-1.4195355,-1.7644947,5.2202196,1.325331,-1.2796947,2.2786064,0.45210657,-1.2848837,-2.3122168,-1.128605,-0.27939636,-1.5217031,2.4289434,-1.3329241,-0.9942112,-0.5241535,0.8553924,-0.7543675,0.030081663
10423246898564792607150667089393732968,-1.9845082,-0.34573978,-1.527934,9.013689,-3.3942614,-1.2165914,-4.8530297,4.9006634,-0.18336959,-0.46723303,0.23050845,2.1848857,2.5101845,-1.9202929,-1.281747,0.7930603,0.048632883,-1.4383991,2.210471,-0.6652222,0.30809608,-0.2959709,-0.3573659,-0.30103377,1.664987,0.51663697,-0.78532374,-0.5184919,1.0358976
